"Rk","Player","Nation","Pos","Squad","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Market_Value_Euro","Year"
136,"Lewis Dunk","eng ENG","DF","Brighton",28,1991,33,33,2931,32.6,5,0,5,5,0,0,5,2,2.2,2.2,1.2,3.4,27,82,7,0.15,0,0.15,0.15,0.15,0.07,0.04,0.1,0.07,0.1,2e+07,2021
138,"Ederson","br BRA","GK","Manchester City",26,1993,36,36,3240,36,0,1,1,0,0,0,3,0,0,0,0.3,0.3,0,1,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,4.5e+07,2021
141,"Anthony Elanga","se SWE","FW","Manchester Utd",18,2002,2,2,155,1.7,1,0,1,1,0,0,0,0,0.4,0.4,0,0.5,2,3,13,0.58,0,0.58,0.58,0.58,0.26,0.02,0.28,0.26,0.28,2e+07,2021
143,"Mohamed Elneny","eg EGY","MF","Arsenal",28,1992,23,17,1544,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,17,99,12,0.06,0,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03,1.1e+07,2021
144,"Jonny Evans","nir NIR","DF","Leicester City",32,1988,28,28,2473,27.5,2,2,4,2,0,0,7,0,1.7,1.7,0.4,2.1,7,96,5,0.07,0.07,0.15,0.07,0.15,0.06,0.02,0.08,0.06,0.08,4e+06,2021
145,"Eberechi Eze","eng ENG","MF","Crystal Palace",22,1998,34,29,2559,28.4,4,6,10,4,0,0,3,0,2.2,2.2,3.9,6.1,79,127,126,0.14,0.21,0.35,0.14,0.35,0.08,0.14,0.21,0.08,0.21,2.2e+07,2021
147,"Fabinho","br BRA","DF,MF","Liverpool",26,1993,30,28,2567,28.5,0,0,0,0,0,0,6,0,0.3,0.3,0.3,0.6,27,124,13,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,6e+07,2021
148,"Bruno Fernandes","pt POR","MF","Manchester Utd",25,1994,37,35,3099,34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6,80,285,263,0.52,0.35,0.87,0.26,0.61,0.47,0.33,0.8,0.24,0.57,8.5e+07,2021
149,"Federico Fernández","ar ARG","DF","Newcastle Utd",31,1989,24,24,2079,23.1,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.8,1,32,7,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,1500000,2021
150,"Fernandinho","br BRA","MF","Manchester City",35,1985,21,12,1188,13.2,0,2,2,0,0,0,6,0,0.7,0.7,1.3,1.9,31,114,5,0,0.15,0.15,0,0.15,0.05,0.1,0.15,0.05,0.15,1500000,2021
152,"Roberto Firmino","br BRA","FW","Liverpool",28,1991,36,33,2838,31.5,9,7,16,9,0,0,2,0,11.3,11.3,5.6,16.9,66,140,222,0.29,0.22,0.51,0.29,0.51,0.36,0.18,0.54,0.36,0.54,3.2e+07,2021
155,"Phil Foden","eng ENG","FW,MF","Manchester City",20,2000,28,17,1616,18,9,5,14,9,0,0,0,0,5,5,3.6,8.6,81,69,213,0.5,0.28,0.78,0.5,0.78,0.28,0.2,0.48,0.28,0.48,9e+07,2021
156,"Wesley Fofana","fr FRA","DF","Leicester City",19,2000,28,27,2262,25.1,0,0,0,0,0,0,7,0,1,1,0.3,1.3,37,93,8,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,4e+07,2021
157,"Pablo Fornals","es ESP","FW,MF","West Ham",24,1996,33,31,2572,28.6,5,4,9,5,0,0,3,0,6,6,2.3,8.4,59,134,142,0.17,0.14,0.31,0.17,0.31,0.21,0.08,0.29,0.21,0.29,2.2e+07,2021
158,"Fraser Forster","eng ENG","GK","Southampton",32,1988,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+06,2021
161,"Ryan Fraser","sct SCO","FW,MF","Newcastle Utd",26,1994,18,9,928,10.3,0,2,2,0,0,0,2,1,0.9,0.9,2,2.9,21,18,71,0,0.19,0.19,0,0.19,0.09,0.19,0.28,0.09,0.28,1e+07,2021
162,"Fred","br BRA","MF","Manchester Utd",27,1993,30,27,2390,26.6,1,0,1,1,0,0,5,0,1.8,1.8,1.9,3.7,31,189,33,0.04,0,0.04,0.04,0.04,0.07,0.07,0.14,0.07,0.14,2e+07,2021
163,"Ryan Fredericks","eng ENG","DF,FW","West Ham",27,1992,14,6,569,6.3,1,1,2,1,0,0,2,0,0.3,0.3,1.2,1.5,11,20,39,0.16,0.16,0.32,0.16,0.32,0.04,0.19,0.24,0.04,0.24,1500000,2021
166,"Conor Gallagher","eng ENG","MF","West Brom",20,2000,30,28,2531,28.1,2,2,4,2,0,0,11,0,1.5,1.5,1.8,3.3,32,97,59,0.07,0.07,0.14,0.07,0.14,0.05,0.06,0.12,0.05,0.12,2.5e+07,2021
168,"Dwight Gayle","eng ENG","FW,MF","Newcastle Utd",29,1990,18,4,514,5.7,1,1,2,1,0,0,0,0,2.9,2.9,0.3,3.3,3,6,30,0.18,0.18,0.35,0.18,0.35,0.51,0.06,0.57,0.51,0.57,1500000,2021
169,"Jean-Philippe Gbamin","ci CIV","MF","Everton",24,1995,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9e+06,2021
170,"David de Gea","es ESP","GK","Manchester Utd",29,1990,26,26,2295,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e+07,2021
171,"Anwar El Ghazi","nl NED","FW","Aston Villa",25,1995,28,17,1613,17.9,10,0,10,6,4,4,2,0,8.4,5.3,1.8,7.1,50,47,163,0.56,0,0.56,0.33,0.33,0.47,0.1,0.57,0.3,0.39,9e+06,2021
171,"Anwar El Ghazi","nl NED","FW","Aston Villa",25,1995,28,17,1613,17.9,10,0,10,6,4,4,2,0,8.4,5.3,1.8,7.1,50,47,163,0.56,0,0.56,0.33,0.33,0.47,0.1,0.57,0.3,0.39,9e+06,2021
173,"Morgan Gibbs-White","eng ENG","MF,FW","Wolves",20,2000,11,4,414,4.6,1,0,1,1,0,0,1,0,0.8,0.8,0.4,1.2,15,28,27,0.22,0,0.22,0.22,0.22,0.17,0.09,0.25,0.17,0.25,1.1e+07,2021
174,"Billy Gilmour","sct SCO","MF","Chelsea",19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,18,1,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07,1.2e+07,2021
174,"Billy Gilmour","sct SCO","MF","Chelsea",19,2001,5,3,261,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,3,18,1,0,0,0,0,0,0.02,0.06,0.07,0.02,0.07,1.2e+07,2021
176,"Ben Godfrey","eng ENG","DF","Everton",22,1998,31,29,2685,29.8,0,2,2,0,0,0,4,0,1,1,0.8,1.8,46,63,10,0,0.07,0.07,0,0.07,0.03,0.03,0.06,0.03,0.06,2e+07,2021
177,"André Gomes","pt POR","MF","Everton",27,1993,28,17,1570,17.4,0,1,1,0,0,0,3,0,0.5,0.5,1,1.4,30,103,28,0,0.06,0.06,0,0.06,0.03,0.06,0.08,0.03,0.08,1.8e+07,2021
178,"Joe Gomez","eng ENG","DF","Liverpool",23,1997,7,6,590,6.6,0,0,0,0,0,0,0,0,0,0,0,0,4,38,1,0,0,0,0,0,0,0.01,0.01,0,0.01,1.8e+07,2021
179,"Anthony Gordon","eng ENG","FW,MF","Everton",19,2001,3,1,88,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0.03,0.03,0,0.03,2e+07,2021
181,"Demarai Gray","jm JAM","FW","Leicester City",24,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,3,0,0,0,0,0,0.32,0,0.32,0.32,0.32,2.2e+07,2021
182,"Jack Grealish","eng ENG","FW,MF","Aston Villa",24,1995,26,24,2185,24.3,6,10,16,6,0,0,6,0,4.6,4.6,7.4,12,172,189,212,0.25,0.41,0.66,0.25,0.66,0.19,0.3,0.5,0.19,0.5,7e+07,2021
184,"Pascal Groß","de GER","MF,DF","Brighton",29,1991,34,27,2484,27.6,3,8,11,0,3,4,3,0,4.9,1.7,5.2,6.9,57,165,168,0.11,0.29,0.4,0,0.29,0.18,0.19,0.36,0.06,0.25,6e+06,2021
186,"Vicente Guaita","es ESP","GK","Crystal Palace",33,1987,37,37,3330,37,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,2021
187,"İlkay Gündoğan","de GER","MF","Manchester City",29,1990,28,23,2029,22.5,13,2,15,12,1,2,1,0,9,7.4,3.5,10.9,69,167,92,0.58,0.09,0.67,0.53,0.62,0.4,0.15,0.55,0.33,0.48,2.5e+07,2021
191,"Jack Harrison","eng ENG","MF,FW","Leeds United",23,1996,36,34,2847,31.6,8,8,16,8,0,0,2,0,5.8,5.8,6.5,12.4,108,98,307,0.25,0.25,0.51,0.25,0.51,0.18,0.21,0.39,0.18,0.39,1.8e+07,2021
192,"Kortney Hause","eng ENG","DF","Aston Villa",25,1995,7,7,630,7,1,0,1,1,0,0,2,0,1,1,0,1,1,10,0,0.14,0,0.14,0.14,0.14,0.15,0,0.15,0.15,0.15,4e+06,2021
193,"Kai Havertz","de GER","MF,FW","Chelsea",21,1999,27,18,1520,16.9,4,3,7,4,0,0,2,0,5.5,5.5,1.3,6.8,47,74,133,0.24,0.18,0.41,0.24,0.41,0.33,0.08,0.4,0.33,0.4,7e+07,2021
194,"Isaac Hayden","eng ENG","MF,DF","Newcastle Utd",25,1995,24,22,1942,21.6,0,0,0,0,0,0,8,0,0.7,0.7,0.3,1,7,47,20,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,8e+06,2021
197,"Dean Henderson","eng ENG","GK","Manchester Utd",23,1997,13,12,1125,12.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8e+07,2021
198,"Jordan Henderson","eng ENG","MF,DF","Liverpool",30,1990,21,20,1704,18.9,1,1,2,1,0,0,0,0,1.3,1.3,1.5,2.8,46,169,21,0.05,0.05,0.11,0.05,0.11,0.07,0.08,0.15,0.07,0.15,1.5e+07,2021
199,"Jeff Hendrick","ie IRL","MF","Newcastle Utd",28,1992,22,17,1422,15.8,2,1,3,2,0,0,3,1,1.1,1.1,1.1,2.2,7,37,24,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,5e+06,2021
202,"Ki-Jana Hoever","nl NED","DF,MF","Wolves",18,2002,12,5,577,6.4,0,0,0,0,0,0,1,0,0,0,0.2,0.2,17,19,38,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,6e+06,2021
203,"Rob Holding","eng ENG","DF","Arsenal",24,1995,30,28,2558,28.4,0,1,1,0,0,0,2,0,1,1,0.2,1.2,10,114,1,0,0.04,0.04,0,0.04,0.04,0.01,0.04,0.04,0.04,1e+07,2021
204,"Mason Holgate","eng ENG","DF","Everton",23,1996,28,26,2287,25.4,1,0,1,1,0,0,9,0,1,1,0.7,1.7,21,57,36,0.04,0,0.04,0.04,0.04,0.04,0.03,0.07,0.04,0.07,1.8e+07,2021
205,"Conor Hourihane","ie IRL","MF","Aston Villa",29,1991,4,3,225,2.5,1,1,2,1,0,0,0,0,0.7,0.7,0.6,1.3,1,23,11,0.4,0.4,0.8,0.4,0.8,0.26,0.25,0.51,0.26,0.51,1800000,2021
206,"Callum Hudson-Odoi","eng ENG","FW,DF","Chelsea",19,2000,23,10,1059,11.8,2,3,5,2,0,0,0,0,1.3,1.3,2.8,4.1,89,75,155,0.17,0.25,0.42,0.17,0.42,0.11,0.24,0.35,0.11,0.35,2.5e+07,2021
210,"Kelechi Iheanacho","ng NGA","FW","Leicester City",23,1996,25,16,1459,16.2,12,2,14,12,0,1,1,0,8.2,7.4,3.7,11.1,31,41,124,0.74,0.12,0.86,0.74,0.86,0.51,0.23,0.74,0.46,0.69,2e+07,2021
211,"Danny Ings","eng ENG","FW","Southampton",28,1992,29,26,2173,24.1,12,4,16,10,2,2,1,0,8.5,6.9,2.1,9.1,37,52,134,0.5,0.17,0.66,0.41,0.58,0.35,0.09,0.44,0.29,0.38,2e+07,2021
213,"Alex Iwobi","ng NGA","FW,MF","Everton",24,1996,30,17,1542,17.1,1,2,3,1,0,0,0,0,0.9,0.9,1.9,2.8,72,65,99,0.06,0.12,0.18,0.06,0.18,0.05,0.11,0.16,0.05,0.16,1.8e+07,2021
217,"Daniel James","wls WAL","FW","Manchester Utd",22,1997,15,11,910,10.1,3,1,4,3,0,0,3,0,2.2,2.2,0.9,3.1,36,32,84,0.3,0.1,0.4,0.3,0.4,0.22,0.09,0.31,0.22,0.31,1.8e+07,2021
217,"Daniel James","wls WAL","FW","Manchester Utd",22,1997,15,11,910,10.1,3,1,4,3,0,0,3,0,2.2,2.2,0.9,3.1,36,32,84,0.3,0.1,0.4,0.3,0.4,0.22,0.09,0.31,0.22,0.31,1.8e+07,2021
218,"Reece James","eng ENG","DF","Chelsea",20,1999,32,25,2373,26.4,1,2,3,1,0,0,3,0,1.6,1.6,3.5,5,80,128,204,0.04,0.08,0.11,0.04,0.11,0.06,0.13,0.19,0.06,0.19,6e+07,2021
221,"Gabriel Jesus","br BRA","FW","Manchester City",23,1997,29,22,2063,22.9,9,4,13,9,0,0,2,0,8.7,8.7,2.7,11.4,54,41,202,0.39,0.17,0.57,0.39,0.57,0.38,0.12,0.5,0.38,0.5,5e+07,2021
222,"Raúl Jiménez","mx MEX","FW","Wolves",29,1991,10,10,823,9.1,4,0,4,4,0,0,0,0,2.4,2.4,0.3,2.7,23,26,46,0.44,0,0.44,0.44,0.44,0.27,0.03,0.29,0.27,0.29,1.8e+07,2021
223,"Joelinton","br BRA","FW,MF","Newcastle Utd",23,1996,31,23,1983,22,4,2,6,3,1,1,3,0,5.4,4.6,2.4,7.1,34,39,104,0.18,0.09,0.27,0.14,0.23,0.25,0.11,0.36,0.21,0.32,2e+07,2021
224,"Ben Johnson","eng ENG","DF,FW","West Ham",20,2000,14,5,523,5.8,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,11,20,24,0.17,0,0.17,0.17,0.17,0.07,0.07,0.14,0.07,0.14,9e+06,2021
226,"Curtis Jones","eng ENG","MF","Liverpool",19,2001,24,13,1179,13.1,1,2,3,1,0,0,2,0,1.7,1.7,1.5,3.2,42,89,79,0.08,0.15,0.23,0.08,0.23,0.13,0.11,0.24,0.13,0.24,2.8e+07,2021
227,"Jorginho","it ITA","MF","Chelsea",28,1991,28,23,2010,22.3,7,1,8,0,7,9,2,0,7.3,0.2,1.7,1.8,16,145,14,0.31,0.04,0.36,0,0.04,0.33,0.07,0.4,0.01,0.08,4e+07,2021
229,"Diogo Jota","pt POR","FW","Liverpool",23,1996,19,12,1112,12.4,9,0,9,9,0,0,2,0,6.4,6.4,1.6,8,54,43,125,0.73,0,0.73,0.73,0.73,0.51,0.13,0.64,0.51,0.64,6e+07,2021
230,"James Justin","eng ENG","DF","Leicester City",22,1998,23,23,2070,23,2,1,3,2,0,0,4,0,2.2,2.2,2,4.1,64,94,135,0.09,0.04,0.13,0.09,0.13,0.09,0.09,0.18,0.09,0.18,2.5e+07,2021
231,"Ozan Kabak","tr TUR","DF","Liverpool",20,2000,9,9,801,8.9,0,0,0,0,0,0,3,0,0.1,0.1,0,0.2,3,20,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,1e+07,2021
233,"Harry Kane","eng ENG","FW","Tottenham",27,1993,35,35,3082,34.2,23,14,37,19,4,4,1,0,20.1,16.9,7.1,24,75,132,185,0.67,0.41,1.08,0.55,0.96,0.59,0.21,0.79,0.49,0.7,9e+07,2021
234,"N'Golo Kanté","fr FRA","MF","Chelsea",29,1991,30,24,2146,23.8,0,2,2,0,0,0,7,0,0.6,0.6,1.3,1.9,38,116,39,0,0.08,0.08,0,0.08,0.02,0.05,0.08,0.02,0.08,4e+07,2021
235,"Moise Kean","it ITA","FW,MF","Everton",20,2000,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0.28,0,0.28,0.28,0.28,2.4e+07,2021
236,"Michael Keane","eng ENG","DF","Everton",27,1993,35,33,2991,33.2,3,1,4,3,0,0,4,0,1.5,1.5,1.1,2.6,14,78,3,0.09,0.03,0.12,0.09,0.12,0.05,0.03,0.08,0.05,0.08,2e+07,2021
238,"Naby Keïta","gn GUI","MF","Liverpool",25,1995,10,7,520,5.8,0,0,0,0,0,0,1,0,0.4,0.4,0.6,1,18,33,19,0,0,0,0,0,0.07,0.11,0.18,0.07,0.18,2.5e+07,2021
239,"Caoimhín Kelleher","ie IRL","GK","Liverpool",21,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e+06,2021
240,"Martin Kelly","eng ENG","DF","Crystal Palace",30,1990,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+06,2021
241,"Jonjoe Kenny","eng ENG","DF","Everton",23,1997,4,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,4e+06,2021
244,"Joshua King","no NOR","MF,FW","Everton",28,1992,11,0,148,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,9,5,20,0,0,0,0,0,0.37,0,0.37,0.37,0.37,8e+06,2021
245,"Mateusz Klich","pl POL","MF","Leeds United",30,1990,35,28,2393,26.6,4,5,9,2,2,2,6,0,3,1.4,3.4,4.9,70,184,152,0.15,0.19,0.34,0.08,0.26,0.11,0.13,0.24,0.05,0.18,3e+06,2021
246,"Robin Koch","de GER","DF,MF","Leeds United",24,1996,17,13,1132,12.6,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,8,49,3,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07,1.6e+07,2021
249,"Ezri Konsa","eng ENG","DF","Aston Villa",22,1997,36,35,3196,35.5,2,0,2,2,0,0,3,0,2.4,2.4,0.1,2.5,3,32,5,0.06,0,0.06,0.06,0.06,0.07,0,0.07,0.07,0.07,2.2e+07,2021
250,"Cheikhou Kouyaté","sn SEN","DF","Crystal Palace",30,1989,36,35,3121,34.7,1,0,1,1,0,0,4,0,0.7,0.7,1,1.6,6,32,11,0.03,0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,4e+06,2021
252,"Emil Krafth","se SWE","DF","Newcastle Utd",25,1994,16,14,1288,14.3,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,12,28,25,0.07,0,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05,5e+06,2021
254,"Alexandre Lacazette","fr FRA","FW","Arsenal",29,1991,31,22,1923,21.4,13,2,15,10,3,3,3,0,11.7,9.3,2.2,11.5,15,55,112,0.61,0.09,0.7,0.47,0.56,0.55,0.1,0.65,0.43,0.54,1.5e+07,2021
255,"Adam Lallana","eng ENG","MF,FW","Brighton",32,1988,30,16,1596,17.7,1,1,2,1,0,0,0,0,1.6,1.6,2.6,4.2,33,109,77,0.06,0.06,0.11,0.06,0.11,0.09,0.14,0.23,0.09,0.23,2e+06,2021
257,"Tariq Lamptey","gh GHA","DF,MF","Brighton",19,2000,11,11,886,9.8,1,1,2,1,0,0,4,1,0.7,0.7,0.8,1.5,40,26,76,0.1,0.1,0.2,0.1,0.2,0.07,0.08,0.15,0.07,0.15,1.8e+07,2021
258,"Manuel Lanzini","ar ARG","MF,FW","West Ham",27,1993,17,5,566,6.3,1,1,2,1,0,0,1,0,1,1,0.9,1.8,7,28,20,0.16,0.16,0.32,0.16,0.32,0.15,0.14,0.29,0.15,0.29,1.2e+07,2021
259,"Aymeric Laporte","es ESP","DF","Manchester City",26,1994,16,14,1344,14.9,0,0,0,0,0,0,1,0,0.8,0.8,0.4,1.1,28,99,1,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,4.5e+07,2021
260,"Jamaal Lascelles","eng ENG","DF","Newcastle Utd",26,1993,19,19,1625,18.1,2,0,2,2,0,0,4,0,1.3,1.3,0.1,1.4,4,22,2,0.11,0,0.11,0.11,0.11,0.07,0.01,0.08,0.07,0.08,1e+07,2021
263,"Bernd Leno","de GER","GK","Arsenal",28,1992,35,35,3131,34.8,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9e+06,2021
265,"Jamal Lewis","nir NIR","DF","Newcastle Utd",22,1998,24,20,1837,20.4,0,1,1,0,0,0,4,0,0.1,0.1,1,1.1,27,41,56,0,0.05,0.05,0,0.05,0.01,0.05,0.06,0.01,0.06,1e+07,2021
266,"Victor Lindelöf","se SWE","DF","Manchester Utd",26,1994,29,29,2585,28.7,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.9,18,92,2,0.03,0.03,0.07,0.03,0.07,0.02,0.01,0.03,0.02,0.03,2.2e+07,2021
267,"Jesse Lingard","eng ENG","MF,FW","West Ham",27,1992,16,16,1421,15.8,9,4,13,8,1,2,3,0,4.5,2.8,2.1,5,59,75,84,0.57,0.25,0.82,0.51,0.76,0.29,0.13,0.42,0.18,0.31,1.8e+07,2021
269,"Diego Llorente","es ESP","DF","Leeds United",26,1993,15,14,1204,13.4,1,0,1,1,0,0,1,0,0.8,0.8,0.5,1.3,7,26,1,0.07,0,0.07,0.07,0.07,0.06,0.04,0.1,0.06,0.1,1.8e+07,2021
270,"Hugo Lloris","fr FRA","GK","Tottenham",33,1986,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e+06,2021
271,"Giovani Lo Celso","ar ARG","MF","Tottenham",24,1996,18,11,945,10.5,1,1,2,1,0,0,5,0,1.4,1.4,1,2.4,21,71,34,0.1,0.1,0.19,0.1,0.19,0.14,0.09,0.23,0.14,0.23,2.2e+07,2021
272,"Ruben Loftus-Cheek","eng ENG","FW","Chelsea",24,1996,1,1,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2e+07,2021
273,"Ruben Loftus-Cheek","eng ENG","MF,FW","Fulham",24,1996,30,21,1909,21.2,1,0,1,1,0,0,3,0,3.4,3.4,1.2,4.6,57,82,97,0.05,0,0.05,0.05,0.05,0.16,0.06,0.22,0.16,0.22,2e+07,2021
274,"Kevin Long","ie IRL","DF","Burnley",29,1990,8,7,637,7.1,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,0,15,1,0,0,0,0,0,0.06,0,0.06,0.06,0.06,1e+06,2021
275,"Shane Long","ie IRL","FW","Southampton",33,1987,11,1,210,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,3,10,0,0,0,0,0,0.03,0,0.03,0.03,0.03,8e+05,2021
277,"Sean Longstaff","eng ENG","MF","Newcastle Utd",22,1997,22,15,1412,15.7,0,1,1,0,0,0,2,0,1.4,1.4,1,2.3,5,45,18,0,0.06,0.06,0,0.06,0.09,0.06,0.15,0.09,0.15,1.3e+07,2021
278,"Ademola Lookman","ng NGA","FW,MF","Fulham",22,1997,34,31,2747,30.5,4,4,8,4,0,1,5,0,6.3,5.5,5.2,10.7,110,110,236,0.13,0.13,0.26,0.13,0.26,0.21,0.17,0.37,0.18,0.35,1e+07,2021
280,"Matthew Lowton","eng ENG","DF","Burnley",31,1989,34,34,3060,34,1,1,2,1,0,0,5,0,0.8,0.8,3.1,3.9,49,127,59,0.03,0.03,0.06,0.03,0.06,0.02,0.09,0.12,0.02,0.12,1200000,2021
282,"Douglas Luiz","br BRA","MF","Aston Villa",22,1998,33,32,2781,30.9,0,2,2,0,0,0,10,1,1.2,1.2,1.6,2.8,47,131,32,0,0.06,0.06,0,0.06,0.04,0.05,0.09,0.04,0.09,3.8e+07,2021
284,"Alexis Mac Allister","ar ARG","MF,FW","Brighton",21,1998,21,13,1115,12.4,1,1,2,1,0,0,1,0,1.3,1.3,1.5,2.7,15,48,55,0.08,0.08,0.16,0.08,0.16,0.1,0.12,0.22,0.1,0.22,1.6e+07,2021
285,"James Maddison","eng ENG","MF","Leicester City",23,1996,31,24,2099,23.3,8,5,13,8,0,0,4,0,3.8,3.8,5.1,8.9,43,134,116,0.34,0.21,0.56,0.34,0.56,0.16,0.22,0.38,0.16,0.38,5e+07,2021
286,"Gabriel Magalhães","br BRA","DF","Arsenal",22,1997,23,22,1996,22.2,2,0,2,2,0,0,4,1,1.3,1.3,0.1,1.4,18,80,8,0.09,0,0.09,0.09,0.09,0.06,0,0.06,0.06,0.06,3.8e+07,2021
287,"Harry Maguire","eng ENG","DF","Manchester Utd",27,1993,34,34,3047,33.9,2,1,3,2,0,0,11,0,2.3,2.2,0.3,2.5,42,194,14,0.06,0.03,0.09,0.06,0.09,0.07,0.01,0.08,0.07,0.08,3.8e+07,2021
288,"Riyad Mahrez","dz ALG","FW","Manchester City",29,1991,27,23,1949,21.7,9,6,15,9,0,0,0,0,4.7,4.7,5,9.7,88,88,247,0.42,0.28,0.69,0.42,0.69,0.22,0.23,0.45,0.22,0.45,3.5e+07,2021
289,"Ainsley Maitland-Niles","eng ENG","MF,DF","Arsenal",22,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,12,24,21,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,1e+07,2021
290,"Ainsley Maitland-Niles","eng ENG","MF","West Brom",22,1997,15,14,1230,13.7,0,0,0,0,0,0,2,0,0.6,0.6,0.7,1.2,25,47,52,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,1e+07,2021
292,"Sadio Mané","sn SEN","FW","Liverpool",28,1992,35,31,2810,31.2,11,7,18,11,0,0,3,0,14.1,14.1,7,21,142,112,366,0.35,0.22,0.58,0.35,0.58,0.45,0.22,0.67,0.45,0.67,7e+07,2021
293,"Javier Manquillo","es ESP","DF","Newcastle Utd",26,1994,13,10,825,9.2,0,0,0,0,0,0,1,0,0,0,0.3,0.3,13,20,29,0,0,0,0,0,0,0.03,0.03,0,0.03,3e+06,2021
295,"Solly March","eng ENG","DF,MF","Brighton",26,1994,21,19,1672,18.6,2,1,3,2,0,0,0,0,1.7,1.7,1.5,3.2,74,79,146,0.11,0.05,0.16,0.11,0.16,0.09,0.08,0.17,0.09,0.17,9e+06,2021
296,"Pablo Marí","es ESP","DF","Arsenal",26,1993,10,10,900,10,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.3,4,21,0,0,0,0,0,0,0.01,0.03,0.03,0.01,0.03,5e+06,2021
297,"Anthony Martial","fr FRA","FW","Manchester Utd",24,1995,22,17,1480,16.4,4,3,7,4,0,0,0,1,6.5,6.5,2,8.5,48,46,155,0.24,0.18,0.43,0.24,0.43,0.4,0.12,0.52,0.4,0.52,1.6e+07,2021
298,"Gabriel Martinelli","br BRA","FW","Arsenal",19,2001,14,7,589,6.5,2,1,3,2,0,0,0,0,3.3,3.3,1.8,5.1,23,8,62,0.31,0.15,0.46,0.31,0.46,0.5,0.27,0.78,0.5,0.78,4e+07,2021
