"Rk","Player","Nation","Pos","Squad","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Market_Value_Euro","Year"
230,"N'Golo Kanté","fr FRA","MF","Chelsea",28,1991,22,20,1732,19.2,3,0,3,3,0,0,4,0,1.4,1.4,1.5,2.9,41,132,63,0.16,0,0.16,0.16,0.16,0.07,0.08,0.15,0.07,0.15,5.5e+07,2020
231,"Moise Kean","it ITA","FW","Everton",19,2000,29,6,852,9.5,2,2,4,2,0,0,1,0,4,4,2,6,26,12,60,0.21,0.21,0.42,0.21,0.42,0.42,0.21,0.63,0.42,0.63,3.5e+07,2020
232,"Michael Keane","eng ENG","DF","Everton",26,1993,31,28,2559,28.4,2,0,2,2,0,0,3,0,1.9,1.9,0.7,2.5,9,84,3,0.07,0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,2.5e+07,2020
233,"Naby Keïta","gn GUI","MF","Liverpool",24,1995,18,9,815,9.1,2,3,5,2,0,0,1,0,1.6,1.6,2.7,4.4,35,69,36,0.22,0.33,0.55,0.22,0.55,0.18,0.3,0.48,0.18,0.48,3.2e+07,2020
235,"Martin Kelly","eng ENG","DF","Crystal Palace",29,1990,19,17,1549,17.2,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,6,35,14,0,0.06,0.06,0,0.06,0,0.05,0.05,0,0.05,1500000,2020
237,"Joshua King","no NOR","FW,MF","Bournemouth",27,1992,26,24,2011,22.3,6,4,10,3,3,3,0,0,6.5,4.1,4.1,8.2,60,46,151,0.27,0.18,0.45,0.13,0.31,0.29,0.18,0.47,0.18,0.37,8e+06,2020
241,"Ezri Konsa","eng ENG","DF","Aston Villa",21,1997,25,24,2039,22.7,1,2,3,1,0,0,3,0,1.5,1.5,1,2.4,8,53,13,0.04,0.09,0.13,0.04,0.13,0.06,0.04,0.11,0.06,0.11,2.5e+07,2020
242,"Cheikhou Kouyaté","sn SEN","MF,DF","Crystal Palace",29,1989,35,29,2528,28.1,1,1,2,1,0,0,4,0,2.7,2.7,0.9,3.6,12,64,55,0.04,0.04,0.07,0.04,0.07,0.1,0.03,0.13,0.1,0.13,6e+06,2020
244,"Emil Krafth","se SWE","DF","Newcastle Utd",24,1994,17,11,1020,11.3,0,1,1,0,0,0,0,0,0.3,0.3,0.6,1,11,19,20,0,0.09,0.09,0,0.09,0.03,0.06,0.08,0.03,0.08,3500000,2020
246,"Alexandre Lacazette","fr FRA","FW","Arsenal",28,1991,30,22,1874,20.8,10,4,14,10,0,0,8,0,8.1,8.1,2.9,11.1,21,49,137,0.48,0.19,0.67,0.48,0.67,0.39,0.14,0.53,0.39,0.53,2.8e+07,2020
247,"Adam Lallana","eng ENG","MF,FW","Liverpool",31,1988,15,3,382,4.2,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.3,9,23,17,0.24,0.24,0.47,0.24,0.47,0.18,0.14,0.31,0.18,0.31,4e+06,2020
